boxID,site,lat,long,foreignBoxID
AK01,Fort Wainwright,64.77178,-147.08797,
AK02,Fort Wainwright,64.76672,-147.08795,
AK03,Fort Wainwright,64.76518,-147.07322,
AK04,Fort Wainwright,64.76117,-147.06668,
AK05,Fort Wainwright,64.7576,-147.05862,
AK06,Fort Wainwright,64.75401,-147.04977,
AK07,Fort Wainwright,64.75729,-147.04219,
AK08,Fort Wainwright,64.76147,-147.03242,
AK09,Fort Wainwright,64.77576,-147.00742,
AK10,Fort Wainwright,64.80179,-146.96988,
AK11,Fort Wainwright,64.72498,-147.07304,
AK12,Fort Wainwright,64.71435,-147.05437,
AK13,Fort Wainwright,64.71024,-147.04996,
AK14,Fort Wainwright,64.70634,-147.04358,
AK15,Fort Wainwright,64.69907,-147.03581,
AK16,Fort Wainwright,64.69582,-147.0253,
AK17,Fort Wainwright,64.69577,-147.00797,
AK18,Fort Wainwright,64.69798,-146.98882,
AK19,Fort Wainwright,64.69802,-146.97844,
AK20,Fort Wainwright,64.69884,-146.96802,
CA01,Camp Pendleton,33.32008,-117.33583,
CA02,Camp Pendleton,33.32433,-117.33204,
CA03,Camp Pendleton,33.33002,-117.33284,
CA04,Camp Pendleton,33.33415,-117.33121,
CA05,Camp Pendleton,33.32311,-117.32648,
CA06,Camp Pendleton,33.32746,-117.31847,
CA07,Camp Pendleton,33.34013,-117.31563,
CA08,Camp Pendleton,33.3488,-117.31824,
CA09,Camp Pendleton,33.36109,-117.31828,
CA10,Camp Pendleton,33.3343,-117.3139,
CA11,Camp Pendleton,33.45121,-117.567,
CA12,Camp Pendleton,33.44482,-117.56995,
CA13,Camp Pendleton,33.43365,-117.56832,
CA14,Camp Pendleton,33.42142,-117.54263,
CA15,Camp Pendleton,33.40375,-117.52703,
CA16,Camp Pendleton,33.31066,-117.34219,
CA17,Camp Pendleton,33.38616,-117.50253,
CA18,Camp Pendleton,33.37576,-117.46416,
CA19,Camp Pendleton,33.36034,-117.41351,
CA20,Camp Pendleton,33.34706,-117.35729,
FL01,Eglin AFB,30.49549,-86.30241,
FL02,Eglin AFB,30.48995,-86.29952,
FL03,Eglin AFB,30.48963,-86.30608,
FL04,Eglin AFB,30.49696,-86.22624,
FL05,Eglin AFB,30.50082,-86.228,
FL06,Eglin AFB,30.50602,-86.22955,
FL07,Eglin AFB,30.49029,-86.22506,
FL08,Eglin AFB,30.48556,-86.22238,
FL09,Eglin AFB,30.48678,-86.22877,
FL10,Eglin AFB,30.52397,-86.15809,
FL11,Eglin AFB,30.53151,-86.15665,
FL12,Eglin AFB,30.53144,-86.14824,
FL13,Eglin AFB,30.53154,-86.14232,
FL14,Eglin AFB,30.54399,-86.12002,
