site,lon,lat
Big Oaks NWR,-85.4148139,38.9364377
Camp Pendleton,-117.3811366,33.2295467
Dugway Proving Ground,-112.7444097,40.2210533
Eglin Air Force Base,-86.5533382,30.4635583
Fort Bragg,-79.0079949,35.1414552
Fort Hood,-97.7413143,31.1950013
Fort Riley,-96.8099772,39.110058
Fort Wainwright,-147.61007,64.84159
Lucky Peak Dam,-116.0637037,43.5265775
White Sands Missile Range,-106.3463791,33.2384902
Yakima Training Center,-120.4599515,46.6750708
Fort Drum,-75.74878,44.05805
Minot AFB,-101.3387,48.4158
