Group,Name,Longitude,Latitude
C,C2,-116.233585,43.547311
C,C3,-116.233655,43.534967
C,C4,-116.233731,43.52798
C,C7,-116.233989,43.505643
C,C9,-116.234538,43.491564
C,C10,-116.234305,43.479649
C,C11,-116.234361,43.472239
C,C12,-116.234646,43.462426
C,C17,-116.233005,43.455311
C,C19,-116.234616,43.444183
C,C20,-116.244539,43.444249
C,C21,-116.254327,43.444206
C,C23,-116.264388,43.4431
C,C24,-116.334614,43.515511
C,C26,-116.274325,43.464702
C,C27,-116.274143,43.47366
C,C29,-116.274197,43.492876
C,C30,-116.263723,43.489738
C,C31,-116.254441,43.486202
C,C33,-116.234946,43.487667
C,C34,-116.235268,43.459162
C,C36,-116.274484,43.458616
C,C40,-116.333667,43.437339
C,C41,-116.335825,43.444546
C,C42,-116.325106,43.444924
C,C43,-116.352533,43.444516
C,C44,-116.334531,43.456541
C,C47,-116.33431,43.491405
C,C48,-116.33421,43.499355
C,C49,-116.334274,43.505928
C,C55,-116.334458,43.569094
C,C62,-116.372924,43.5318
C,C64,-116.374613,43.559974
C,C68,-116.360498,43.531866
C,C73,-116.342534,43.575669
C,C77,-116.254287,43.452507
C,C80,-116.286922,43.499358
C,C81,-116.313274,43.517402
C,C82,-116.314509,43.521983
C,C83,-116.353211,43.50266
C,C84,-116.346481,43.502757
C,C86,-116.234368,43.435457
C,C87,-116.234484,43.420411
C,C88,-116.234524,43.412316
C,C89,-116.33404,43.428148
C,C90,-116.333871,43.418764
C,C91,-116.333937,43.410417
C,C94,-116.166544,43.458925
C,C95,-116.15972,43.458929
C,C96,-116.143721,43.455731
C,C97,-116.337578,43.459359
C,C98,-116.345873,43.459335
G,G007,-116.433883,43.57722
G,G009,-116.499387,43.51763
G,G010,-116.445038,43.546615
G,G011,-116.453583,43.554535
G,G014,-116.453548,43.573435
G,G017,-116.473616,43.550136
G,G018,-116.473551,43.541852
G,G019,-116.4835636,43.5709565
G,G024,-116.475534,43.510166
G,G026,-116.473467,43.517468
G,G027,-116.493523,43.514551
G,G028,-116.484873,43.524931
G,G030,-116.48465,43.532169
G,G032,-116.473756,43.565237
G,G035,-116.503772,43.559248
G,G038,-116.488053,43.548347
G,G039,-116.459399,43.546504
G,G040,-116.493816,43.5724983
G,G042,-116.453756,43.539499
G,G045,-116.483698,43.562599
G,G058,-116.453731,43.525749
G,G059,-116.453733,43.515935
G,G061,-116.473894,43.525187
G,G064,-116.52917,43.51745
G,G067,-116.413903,43.563496
G,G068,-116.518336,43.524572
G,G069,-116.525637,43.524594
G,G070,-116.520052,43.517331
G,G071,-116.473696,43.556565
G,G074,-116.497647,43.546832
G,G075,-116.433852,43.547497
G,G076,-116.476331,43.546736
G,G082,-116.522986,43.514003
G,G083,-116.523,43.512247
G,G084,-116.522172,43.512081
G,G086,-116.521911,43.502878
G,G087,-116.533012,43.510208
H,H001,-116.348684,43.516456
H,H002,-116.346248,43.512805
H,H003,-116.353057,43.504352
K,K1,-116.250778,43.458263
K,K6,-116.340975,43.473237
K,K7,-116.354944,43.488551
K,K8,-116.374746,43.488391
K,K103,-116.421619,43.546499
K,K106,-116.45349,43.503085
K,K107,-116.476301,43.503074
K,K108,-116.495129,43.502934
K,K109,-116.51399,43.501791
K,K112,-116.354406,43.465984
K,K201,-116.468464,43.488352
K,K202,-116.509828,43.48724
K,K203,-116.367738,43.473703
K,K204,-116.384317,43.481204
K,K205,-116.388695,43.473763
K,K206,-116.428606,43.473753
K,K207,-116.453553,43.490641
K,K208,-116.45361,43.482925
K,K209,-116.462842,43.473802
K,K212,-116.433826,43.542319
S,S017,-116.171971,43.458901
S,S011,-116.188225,43.458901
S,S110,-116.136686,43.453238
S,S163,-116.214359,43.457751
S,S171,-116.199302,43.458835
